dt,time_hr,place,price_actual
1/16/2022,10,germany,125.99
1/16/2022,11,germany,131.83
1/16/2022,12,germany,123.01
1/16/2022,13,germany,122.49
1/16/2022,14,germany,102.67
1/16/2022,15,germany,121.95
1/16/2022,16,germany,115
1/16/2022,17,germany,125.42
1/16/2022,18,germany,112.4
1/16/2022,19,germany,97.49
1/16/2022,20,germany,90.14
1/16/2022,21,germany,97.09
1/16/2022,22,germany,93.85
1/16/2022,23,germany,87.2
1/17/2022,0,germany,78.08
1/17/2022,1,germany,34
1/17/2022,2,germany,12.33
1/17/2022,3,germany,10.09
1/17/2022,4,germany,12.83
1/17/2022,5,germany,36.16
1/17/2022,6,germany,92.03
1/17/2022,7,germany,102.8
1/17/2022,8,germany,126
1/17/2022,9,germany,100.9
1/17/2022,10,germany,112.03
1/17/2022,11,germany,111.25
1/17/2022,12,germany,100.58
1/17/2022,13,germany,111.65
1/17/2022,14,germany,127.38
1/17/2022,15,germany,168.85
1/17/2022,16,germany,199.85
1/17/2022,17,germany,249.99
1/17/2022,18,germany,254.37
1/17/2022,19,germany,237.28
1/17/2022,20,germany,220
1/17/2022,21,germany,215.94
1/17/2022,22,germany,209.16
1/17/2022,23,germany,180
1/18/2022,0,germany,188.94
1/18/2022,1,germany,192.68
1/18/2022,2,germany,180.09
1/18/2022,3,germany,188.09
1/18/2022,4,germany,193.99
1/18/2022,5,germany,205.07
1/18/2022,6,germany,229.1
1/18/2022,7,germany,273.71
1/18/2022,8,germany,294.4
1/18/2022,9,germany,290.64
1/18/2022,10,germany,275.4
1/18/2022,11,germany,265.1
1/18/2022,12,germany,250
1/18/2022,13,germany,244.27
1/18/2022,14,germany,243.02
1/18/2022,15,germany,249.22
1/18/2022,16,germany,260
1/18/2022,17,germany,278
1/18/2022,18,germany,276.39
1/18/2022,19,germany,255.03
1/18/2022,20,germany,237.28
1/18/2022,21,germany,224.19
1/18/2022,22,germany,190.78
1/18/2022,23,germany,175.49
1/19/2022,0,germany,169.01
1/19/2022,1,germany,163.48
1/19/2022,2,germany,162.93
1/19/2022,3,germany,160.01
1/19/2022,4,germany,163.16
1/19/2022,5,germany,165.59
1/19/2022,6,germany,198.39
1/19/2022,7,germany,227.42
1/19/2022,8,germany,261.65
1/19/2022,9,germany,252.67
1/19/2022,10,germany,221.75
1/19/2022,11,germany,193.62
1/19/2022,12,germany,170.14
1/19/2022,13,germany,160.47
